Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.744062,-73.832622,Apartment for rent,"$2,200/mo",--,2 minutes ago
40.74898,-73.79658,Apartment for rent,"$1,100/mo",--,2 hours ago
40.72459,-73.81841,Apartment for rent,"$1,400/mo",350,10 hours ago
40.74563,-73.8293,Apartment for rent,"$2,300/mo","1,200",11 hours ago
40.740659,-73.851792,Apartment for rent,"$2,500/mo","3,078",13 hours ago
40.752635,-73.830882,Apartment for rent,"$2,800/mo","1,200",15 hours ago
40.752636,-73.830883,Apartment for rent,"$1,950/mo",750,15 hours ago
40.74896,-73.85448,Apartment for rent,"$2,200/mo",--,16 hours ago
40.737434,-73.801602,Apartment for rent,"$2,150/mo",--,16 hours ago
40.744624,-73.835556,Apartment for rent,"$2,299/mo",--,16 hours ago
40.730183,-73.806933,Apartment for rent,"$1,800/mo",--,1 day ago
40.730941,-73.849379,Apartment for rent,"$3,500/mo","1,800",2 days ago
40.73804,-73.80183,Apartment for rent,"$2,150/mo","1,500",2 days ago
40.750325,-73.794241,Apartment for rent,"$1,650/mo",650,2 days ago
40.73916,-73.79394,Apartment for rent,"$2,400/mo","1,600",2 days ago
40.738864,-73.849251,Apartment for rent,"$2,400/mo","1,100",2 days ago
40.744312,-73.85863,Apartment for rent,"$1,100/mo",--,2 days ago
40.74848,-73.86099,Apartment for rent,"$2,000/mo",800,2 days ago
40.725748,-73.811574,Apartment for rent,"$2,000/mo",940,2 days ago
40.72594,-73.8139,Apartment for rent,"$1,800/mo",800,2 days ago
40.7266,-73.81683,Apartment for rent,"$2,075/mo",840,2 days ago
40.726262,-73.811088,Apartment for rent,"$2,000/mo","1,025",2 days ago
40.726426,-73.820878,Apartment for rent,"$2,700/mo","1,100",2 days ago
40.72494,-73.81468,Apartment for rent,"$2,100/mo",--,2 days ago
40.722019,-73.802757,House for rent,"$4,500/mo","1,190",3 days ago
40.74064,-73.81122,House for rent,"$2,100/mo",--,3 days ago
40.745489,-73.829743,Apartment for rent,"$2,400/mo","1,200",3 days ago
40.73688,-73.804352,Apartment for rent,"$1,600/mo",--,3 days ago
40.738726,-73.829708,House for rent,"$2,500/mo",950,3 days ago
40.726613,-73.814238,Apartment for rent,"$1,800/mo",850,3 days ago
40.749107,-73.828979,Apartment for rent,"$2,500/mo",--,3 days ago
40.72165,-73.80959,Apartment for rent,"$1,500/mo",--,3 days ago
40.742044,-73.85917,Apartment for rent,"$1,750/mo",--,3 days ago
40.729182,-73.863288,Apartment for rent,"$1,950/mo",--,3 days ago
40.72568,-73.85726,Apartment for rent,"$2,099/mo","1,100",3 days ago
40.73655,-73.80766,Apartment for rent,"$1,900/mo","1,100",3 days ago
40.7244,-73.84979,Apartment for rent,"$2,500/mo","126,000",3 days ago
40.72353,-73.82302,House for rent,"$4,300/mo",--,3 days ago
40.72047,-73.82584,House for rent,"$3,400/mo","1,176",3 days ago
40.737352,-73.854504,Apartment for rent,"$2,600/mo","1,155",4 days ago
40.742994,-73.859748,Apartment for rent,"$2,000/mo",--,4 days ago
40.74896,-73.85448,Apartment for rent,"$1,700/mo",--,4 days ago
40.732005,-73.852345,Apartment for rent,"$1,900/mo",800,4 days ago
40.71987,-73.82323,Apartment for rent,"$1,800/mo",--,4 days ago
40.738288,-73.857384,Apartment for rent,"$2,500/mo","1,200",4 days ago
40.726756,-73.813748,Apartment for rent,"$1,800/mo",850,4 days ago
40.721056,-73.822548,Apartment for rent,"$1,800/mo",900,4 days ago
40.72728,-73.81718,Apartment for rent,"$2,075/mo",670,4 days ago
40.727966,-73.860657,Apartment for rent,"$1,900/mo",800,4 days ago
